INDIVIDUAL_ID	#EVALUATION	STRONGEST	MEDIUM	WEAKEST	RATIO	AGGREGATED
individualA.cpp	0	0	3	3	0,0214480681	6,0214480681
individualA.cpp	1	0	0	0	0,0060454686	0,0060454686
individualA.cpp	2	0	3	3	0,0194779797	6,0194779797
individualA.cpp	3	0	0	0	0,0056500375	0,0056500375
individualA.cpp	4	0	0	3	0,0134950074	1,0134950074
individualA.cpp	5	0	0	3	0,0112393718	1,0112393718
individualA.cpp	6	0	0	0	0,0056977057	0,0056977057
individualA.cpp	7	0	0	0	0,0053243062	0,0053243062
individualA.cpp	8	0	3	3	0,0187639123	6,0187639123
individualA.cpp	9	0	0	0	0,0054887884	0,0054887884
individualA.cpp	10	0	0	0	0,0055682198	0,0055682198
individualA.cpp	11	0	3	3	0,0203285002	6,0203285002
individualA.cpp	12	0	0	3	0,0140911296	1,0140911296
individualA.cpp	13	0	0	3	0,0127026048	1,0127026048
individualA.cpp	14	0	0	3	0,0112011011	1,0112011011
individualA.cpp	15	0	0	6	0,0141508301	2,0141508301
individualA.cpp	16	0	0	0	0,0052525388	0,0052525388
individualA.cpp	17	0	0	0	0,0055793114	0,0055793114
individualA.cpp	18	0	0	3	0,0115329818	1,0115329818
individualA.cpp	19	0	3	3	0,0196260885	6,0196260885
individualA.cpp	20	0	0	0	0,0064646973	0,0064646973
individualA.cpp	21	0	3	3	0,0172509117	6,0172509117
individualA.cpp	22	0	0	0	0,0057302666	0,0057302666
individualA.cpp	23	0	0	3	0,0127194305	1,0127194305
individualA.cpp	24	0	0	3	0,0126530184	1,0126530184
individualA.cpp	25	0	3	3	0,0199618621	6,0199618621
individualA.cpp	26	0	0	3	0,0110934513	1,0110934513
individualA.cpp	27	0	0	0	0,0057450918	0,0057450918
individualA.cpp	28	0	0	0	0,0057168784	0,0057168784
individualA.cpp	29	0	0	0	0,005665261	0,005665261
individualA.cpp	30	0	0	0	0,0055135477	0,0055135477
individualA.cpp	31	0	0	3	0,0122945015	1,0122945015
individualA.cpp	32	0	0	3	0,0120233125	1,0120233125
individualA.cpp	33	0	0	3	0,0118484779	1,0118484779
individualA.cpp	34	0	0	0	0,0057409677	0,0057409677
individualA.cpp	35	0	0	3	0,0118653459	1,0118653459
individualA.cpp	36	0	0	0	0,0065084123	0,0065084123
individualA.cpp	37	0	0	3	0,0116855396	1,0116855396
individualA.cpp	38	3	3	3	0,0202315926	27,0202315926
individualA.cpp	39	0	3	3	0,0174438634	6,0174438634
individualA.cpp	40	0	0	0	0,0071690137	0,0071690137
individualA.cpp	41	0	3	3	0,0180760507	6,0180760507
individualA.cpp	42	0	0	3	0,0121286376	1,0121286376
individualA.cpp	43	0	0	3	0,0132495089	1,0132495089
individualA.cpp	44	0	0	3	0,0115744379	1,0115744379
individualA.cpp	45	0	0	3	0,0116421666	1,0116421666
individualA.cpp	46	0	0	3	0,011236663	1,011236663
individualA.cpp	47	0	0	3	0,0115711225	1,0115711225
individualA.cpp	48	0	0	3	0,0116248472	1,0116248472
individualA.cpp	49	0	0	3	0,0116879366	1,0116879366
individualA.cpp	50	0	0	0	0,0071918077	0,0071918077
individualA.cpp	51	3	3	3	0,0204287602	27,0204287602
individualA.cpp	52	0	0	0	0,0063005088	0,0063005088
individualA.cpp	53	0	0	3	0,0123276821	1,0123276821
individualA.cpp	54	0	0	0	0,0053264094	0,0053264094
individualA.cpp	55	0	0	0	0,0068925601	0,0068925601
individualA.cpp	56	0	0	0	0,0057467147	0,0057467147
individualA.cpp	57	0	0	0	0,0059874386	0,0059874386
individualA.cpp	58	0	0	3	0,0121671472	1,0121671472
individualA.cpp	59	3	3	3	0,0204974246	27,0204974246
individualA.cpp	60	3	6	3	0,0251399593	32,0251399593
individualA.cpp	61	0	3	3	0,0213201688	6,0213201688
individualA.cpp	62	0	3	3	0,0190338641	6,0190338641
individualA.cpp	63	0	0	3	0,011572819	1,011572819
individualA.cpp	64	0	0	0	0,0055355613	0,0055355613
individualA.cpp	65	0	0	0	0,0061368151	0,0061368151
individualA.cpp	66	0	0	6	0,0116281099	2,0116281099
individualA.cpp	67	0	0	3	0,0123135562	1,0123135562
individualA.cpp	68	0	6	3	0,0241436002	11,0241436002
individualA.cpp	69	3	3	3	0,0224002843	27,0224002843
individualA.cpp	70	0	0	0	0,0060810007	0,0060810007
individualA.cpp	71	0	0	0	0,0054958191	0,0054958191
individualA.cpp	72	0	0	0	0,0054305144	0,0054305144
individualA.cpp	73	3	3	3	0,0225822274	27,0225822274
individualA.cpp	74	0	3	3	0,0199790168	6,0199790168
individualA.cpp	75	3	6	3	0,0240744594	32,0240744594
individualA.cpp	76	0	0	3	0,0121350175	1,0121350175
individualA.cpp	77	0	3	3	0,0184279014	6,0184279014
individualA.cpp	78	0	0	0	0,0057412864	0,0057412864
individualA.cpp	79	0	3	3	0,0214306613	6,0214306613
individualA.cpp	80	0	0	0	0,0054305567	0,0054305567
individualA.cpp	81	0	0	3	0,0131693928	1,0131693928
individualA.cpp	82	3	3	6	0,0219515675	28,0219515675
individualA.cpp	83	0	0	3	0,0116077641	1,0116077641
individualA.cpp	84	0	3	3	0,0215594161	6,0215594161
individualA.cpp	85	0	0	3	0,0112029703	1,0112029703
individualA.cpp	86	0	0	0	0,0054804956	0,0054804956
individualA.cpp	87	0	0	0	0,0054979334	0,0054979334
individualA.cpp	88	0	0	3	0,0121427629	1,0121427629
individualA.cpp	89	0	3	3	0,019980532	6,019980532
individualB.cpp	0	0	0	0	0,0041735665	0,0041735665
individualB.cpp	1	0	0	0	0,0039573268	0,0039573268
individualB.cpp	2	0	0	0	0,0047746466	0,0047746466
individualB.cpp	3	0	0	0	0,0051340551	0,0051340551
individualB.cpp	4	0	0	0	0,0050987229	0,0050987229
individualB.cpp	5	0	0	0	0,0039481673	0,0039481673
individualB.cpp	6	0	0	0	0,0042870985	0,0042870985
individualB.cpp	7	0	0	0	0,0039824934	0,0039824934
individualB.cpp	8	0	0	0	0,004899615	0,004899615
individualB.cpp	9	0	0	0	0,0043621489	0,0043621489
individualB.cpp	10	0	0	0	0,004430246	0,004430246
individualB.cpp	11	0	0	0	0,0050266115	0,0050266115
individualB.cpp	12	0	0	3	0,0100546617	1,0100546617
individualB.cpp	13	0	0	0	0,0041575499	0,0041575499
individualB.cpp	14	0	0	0	0,0040031796	0,0040031796
individualB.cpp	15	0	0	0	0,0041233241	0,0041233241
individualB.cpp	16	0	0	0	0,0041033381	0,0041033381
individualB.cpp	17	0	0	0	0,0048835122	0,0048835122
individualB.cpp	18	0	0	0	0,0047673928	0,0047673928
individualB.cpp	19	0	0	0	0,0052274353	0,0052274353
individualB.cpp	20	0	0	0	0,0041286981	0,0041286981
individualB.cpp	21	0	0	0	0,0046474957	0,0046474957
individualB.cpp	22	0	0	0	0,004940231	0,004940231
individualB.cpp	23	0	0	0	0,0040819813	0,0040819813
individualB.cpp	24	0	0	0	0,0063994828	0,0063994828
individualB.cpp	25	0	0	0	0,0043040314	0,0043040314
individualB.cpp	26	0	0	0	0,0041135475	0,0041135475
individualB.cpp	27	0	0	0	0,0047876685	0,0047876685
individualB.cpp	28	0	0	0	0,0049019564	0,0049019564
individualB.cpp	29	0	0	0	0,0048011551	0,0048011551
individualB.cpp	30	0	0	0	0,006248041	0,006248041
individualB.cpp	31	0	0	0	0,0066395263	0,0066395263
individualB.cpp	32	0	0	3	0,0097605288	1,0097605288
individualB.cpp	33	0	0	0	0,0049213095	0,0049213095
individualB.cpp	34	0	0	0	0,0061084607	0,0061084607
individualB.cpp	35	0	0	0	0,0050140895	0,0050140895
individualB.cpp	36	0	0	0	0,0062963374	0,0062963374
individualB.cpp	37	0	0	0	0,0062697578	0,0062697578
individualB.cpp	38	0	0	0	0,0062129591	0,0062129591
individualB.cpp	39	0	0	0	0,005267548	0,005267548
individualB.cpp	40	0	0	0	0,0065199335	0,0065199335
individualB.cpp	41	0	0	0	0,0049301328	0,0049301328
individualB.cpp	42	0	0	0	0,0065071392	0,0065071392
individualB.cpp	43	0	0	0	0,0058930641	0,0058930641
individualB.cpp	44	0	0	0	0,0062485037	0,0062485037
individualB.cpp	45	0	0	0	0,0059511104	0,0059511104
individualB.cpp	46	0	0	0	0,0053623233	0,0053623233
individualB.cpp	47	0	0	0	0,0053431743	0,0053431743
individualB.cpp	48	0	0	0	0,0063408812	0,0063408812
individualB.cpp	49	0	0	0	0,0062427719	0,0062427719
individualB.cpp	50	0	0	0	0,0052757222	0,0052757222
individualB.cpp	51	0	0	0	0,0051744273	0,0051744273
individualB.cpp	52	0	0	0	0,005998397	0,005998397
individualB.cpp	53	0	0	0	0,005400212	0,005400212
individualB.cpp	54	0	0	0	0,0058896417	0,0058896417
individualB.cpp	55	0	0	0	0,0049072359	0,0049072359
individualB.cpp	56	0	0	0	0,0065052704	0,0065052704
individualB.cpp	57	0	0	0	0,0049001231	0,0049001231
individualB.cpp	58	0	0	0	0,0052918078	0,0052918078
individualB.cpp	59	0	0	0	0,0052960181	0,0052960181
individualB.cpp	60	0	0	0	0,0043439482	0,0043439482
individualB.cpp	61	0	0	0	0,0049409769	0,0049409769
individualB.cpp	62	0	0	0	0,0046763288	0,0046763288
individualB.cpp	63	0	0	0	0,005231504	0,005231504
individualB.cpp	64	0	0	0	0,0044428217	0,0044428217
individualB.cpp	65	0	0	0	0,0051170816	0,0051170816
individualB.cpp	66	0	0	0	0,005180485	0,005180485
individualB.cpp	67	0	0	0	0,0041671928	0,0041671928
individualB.cpp	68	0	0	0	0,0050584169	0,0050584169
individualB.cpp	69	0	0	0	0,0044157518	0,0044157518
individualB.cpp	70	0	0	0	0,005037628	0,005037628
individualB.cpp	71	0	0	0	0,0042229491	0,0042229491
individualB.cpp	72	0	0	0	0,0052235962	0,0052235962
individualB.cpp	73	0	0	0	0,0050508364	0,0050508364
individualB.cpp	74	0	0	0	0,0041559503	0,0041559503
individualB.cpp	75	0	0	0	0,004059218	0,004059218
individualB.cpp	76	0	0	0	0,00427074	0,00427074
individualB.cpp	77	0	0	0	0,0039613341	0,0039613341
individualB.cpp	78	0	0	0	0,0052983043	0,0052983043
individualB.cpp	79	0	0	0	0,0041834353	0,0041834353
individualB.cpp	80	0	0	0	0,0049668407	0,0049668407
individualB.cpp	81	0	0	0	0,0050413686	0,0050413686
individualB.cpp	82	0	0	0	0,0050587334	0,0050587334
individualB.cpp	83	0	0	0	0,0052970535	0,0052970535
individualB.cpp	84	0	0	0	0,004394286	0,004394286
individualB.cpp	85	0	0	0	0,0059331156	0,0059331156
individualB.cpp	86	0	0	0	0,0054038092	0,0054038092
individualB.cpp	87	0	0	0	0,004148706	0,004148706
individualB.cpp	88	0	0	0	0,0047219243	0,0047219243
individualB.cpp	89	0	0	0	0,0048648738	0,0048648738
individualC.cpp	0	0	0	0	0,0052997094	0,0052997094
individualC.cpp	1	0	0	3	0,0129305551	1,0129305551
individualC.cpp	2	3	3	3	0,0164739679	27,0164739679
individualC.cpp	3	0	0	0	0,0045759978	0,0045759978
individualC.cpp	4	0	3	3	0,0179556158	6,0179556158
individualC.cpp	5	0	0	3	0,0109523151	1,0109523151
individualC.cpp	6	0	0	0	0,0037776032	0,0037776032
individualC.cpp	7	0	0	0	0,0038859788	0,0038859788
individualC.cpp	8	0	0	0	0,0038979124	0,0038979124
individualC.cpp	9	0	0	0	0,005227532	0,005227532
individualC.cpp	10	0	0	0	0,0041233717	0,0041233717
individualC.cpp	11	3	3	3	0,0199351452	27,0199351452
individualC.cpp	12	6	3	6	0,0168783124	49,0168783124
individualC.cpp	13	0	0	3	0,0081153124	1,0081153124
individualC.cpp	14	0	0	6	0,0144318062	2,0144318062
individualC.cpp	15	0	0	0	0,0040372797	0,0040372797
individualC.cpp	16	0	0	0	0,0045392505	0,0045392505
individualC.cpp	17	0	0	0	0,0048545223	0,0048545223
individualC.cpp	18	3	3	3	0,0162743052	27,0162743052
individualC.cpp	19	0	0	0	0,0037015645	0,0037015645
individualC.cpp	20	0	0	0	0,0052631579	0,0052631579
individualC.cpp	21	0	0	0	0,0040476198	0,0040476198
individualC.cpp	22	0	6	3	0,0153167659	11,0153167659
individualC.cpp	23	3	3	3	0,0151063545	27,0151063545
individualC.cpp	24	0	0	3	0,0093162655	1,0093162655
individualC.cpp	25	0	0	0	0,004512184	0,004512184
individualC.cpp	26	3	3	6	0,0201605326	28,0201605326
individualC.cpp	27	0	0	0	0,0046534704	0,0046534704
individualC.cpp	28	0	0	0	0,0045204683	0,0045204683
individualC.cpp	29	0	0	0	0,0045993509	0,0045993509
individualC.cpp	30	0	0	0	0,0034253108	0,0034253108
individualC.cpp	31	0	0	0	0,004945591	0,004945591
individualC.cpp	32	0	0	0	0,0041701467	0,0041701467
individualC.cpp	33	0	0	0	0,0038986209	0,0038986209
individualC.cpp	34	0	0	0	0,0046938613	0,0046938613
individualC.cpp	35	0	0	0	0,0048072885	0,0048072885
individualC.cpp	36	0	0	0	0,0037801923	0,0037801923
individualC.cpp	37	0	0	0	0,0050397655	0,0050397655
individualC.cpp	38	3	6	3	0,0213159071	32,0213159071
individualC.cpp	39	0	0	0	0,0056695508	0,0056695508
individualC.cpp	40	0	0	0	0,0036477283	0,0036477283
individualC.cpp	41	0	0	0	0,0045462748	0,0045462748
individualC.cpp	42	0	0	0	0,0052035527	0,0052035527
individualC.cpp	43	0	0	0	0,0049732227	0,0049732227
individualC.cpp	44	3	3	3	0,0163457176	27,0163457176
individualC.cpp	45	0	0	0	0,0040458736	0,0040458736
individualC.cpp	46	0	0	0	0,0071148564	0,0071148564
individualC.cpp	47	0	0	0	0,0070709263	0,0070709263
individualC.cpp	48	0	0	0	0,0050422415	0,0050422415
individualC.cpp	49	0	0	0	0,0048554655	0,0048554655
individualC.cpp	50	0	0	0	0,0043209024	0,0043209024
individualC.cpp	51	0	0	0	0,0036938184	0,0036938184
individualC.cpp	52	0	0	0	0,0047469371	0,0047469371
individualC.cpp	53	0	0	0	0,0042059782	0,0042059782
individualC.cpp	54	0	0	0	0,0053631156	0,0053631156
individualC.cpp	55	0	0	0	0,0042187144	0,0042187144
individualC.cpp	56	0	0	0	0,0033936144	0,0033936144
individualC.cpp	57	0	0	0	0,0049749308	0,0049749308
individualC.cpp	58	0	3	3	0,0149638105	6,0149638105
individualC.cpp	59	0	0	0	0,004415274	0,004415274
individualC.cpp	60	0	0	0	0,0096357528	0,0096357528
individualC.cpp	61	0	0	0	0,0056209547	0,0056209547
individualC.cpp	62	0	0	0	0,0042565548	0,0042565548
individualC.cpp	63	0	0	0	0,0042489457	0,0042489457
individualC.cpp	64	0	0	0	0,0041787543	0,0041787543
individualC.cpp	65	0	0	0	0,0042999788	0,0042999788
individualC.cpp	66	0	0	0	0,0040237056	0,0040237056
individualC.cpp	67	0	3	3	0,0142970581	6,0142970581
individualC.cpp	68	0	0	3	0,0080891137	1,0080891137
individualC.cpp	69	0	0	0	0,0046062922	0,0046062922
individualC.cpp	70	0	0	0	0,0069266538	0,0069266538
individualC.cpp	71	3	3	3	0,0133624089	27,0133624089
individualC.cpp	72	0	0	0	0,0041361	0,0041361
individualC.cpp	73	0	0	0	0,0046036538	0,0046036538
individualC.cpp	74	0	0	0	0,0041126582	0,0041126582
individualC.cpp	75	0	0	0	0,0051111481	0,0051111481
individualC.cpp	76	0	0	0	0,0039312596	0,0039312596
individualC.cpp	77	3	3	6	0,0186155295	28,0186155295
individualC.cpp	78	0	0	0	0,0105360439	0,0105360439
individualC.cpp	79	0	0	3	0,0092462855	1,0092462855
individualC.cpp	80	0	0	0	0,0057816952	0,0057816952
individualC.cpp	81	0	0	3	0,0088208679	1,0088208679
individualC.cpp	82	0	0	3	0,00860976	1,00860976
individualC.cpp	83	3	3	3	0,0170239076	27,0170239076
individualC.cpp	84	0	0	0	0,0058892039	0,0058892039
individualC.cpp	85	0	0	0	0,0043975794	0,0043975794
individualC.cpp	86	0	0	3	0,0096803626	1,0096803626
individualC.cpp	87	0	0	3	0,0102285223	1,0102285223
individualC.cpp	88	0	0	3	0,0087562418	1,0087562418
individualC.cpp	89	0	0	0	0,0038623064	0,0038623064
individualD.cpp	0	0	3	3	0,0206776596	6,0206776596
individualD.cpp	1	0	6	3	0,0257115477	11,0257115477
individualD.cpp	2	0	0	0	0,0082230142	0,0082230142
individualD.cpp	3	0	0	0	0,0087461171	0,0087461171
individualD.cpp	4	0	0	0	0,0079046347	0,0079046347
individualD.cpp	5	0	0	0	0,0066287751	0,0066287751
individualD.cpp	6	0	0	0	0,0069640275	0,0069640275
individualD.cpp	7	0	0	3	0,0174518821	1,0174518821
individualD.cpp	8	0	0	0	0,0073416138	0,0073416138
individualD.cpp	9	3	6	3	0,0281198947	32,0281198947
individualD.cpp	10	3	3	3	0,0289296441	27,0289296441
individualD.cpp	11	0	3	3	0,0212205054	6,0212205054
individualD.cpp	12	0	0	0	0,00726314	0,00726314
individualD.cpp	13	0	3	3	0,0255014171	6,0255014171
individualD.cpp	14	0	3	3	0,0197652553	6,0197652553
individualD.cpp	15	3	3	6	0,027894249	28,027894249
individualD.cpp	16	0	0	3	0,0165544065	1,0165544065
individualD.cpp	17	0	0	0	0,0064917886	0,0064917886
individualD.cpp	18	0	0	0	0,0080089829	0,0080089829
individualD.cpp	19	0	0	0	0,007347485	0,007347485
individualD.cpp	20	0	0	0	0,0077422816	0,0077422816
individualD.cpp	21	0	0	0	0,0070511335	0,0070511335
individualD.cpp	22	0	0	0	0,0069364601	0,0069364601
individualD.cpp	23	0	0	3	0,0174855789	1,0174855789
individualD.cpp	24	0	0	0	0,0063212726	0,0063212726
individualD.cpp	25	0	0	3	0,0150581884	1,0150581884
individualD.cpp	26	0	0	3	0,0168185857	1,0168185857
individualD.cpp	27	0	6	3	0,0236709942	11,0236709942
individualD.cpp	28	0	0	0	0,0083245474	0,0083245474
individualD.cpp	29	0	0	3	0,0152854986	1,0152854986
individualD.cpp	30	0	3	3	0,0214316568	6,0214316568
individualD.cpp	31	0	0	0	0,0066485112	0,0066485112
individualD.cpp	32	0	0	3	0,0114435017	1,0114435017
individualD.cpp	33	0	3	3	0,0224749462	6,0224749462
individualD.cpp	34	0	0	3	0,0128311737	1,0128311737
individualD.cpp	35	0	0	3	0,0124128046	1,0124128046
individualD.cpp	36	0	0	0	0,0065308304	0,0065308304
individualD.cpp	37	0	0	3	0,0117096273	1,0117096273
individualD.cpp	38	0	0	3	0,0123232017	1,0123232017
individualD.cpp	39	0	0	0	0,0058346017	0,0058346017
